old_local,best_candidate,ratio,token_overlap,reason
Berg_LyrischeSuite,Berg_LyrischeSuite_6,0.9474,0.6667,borderline
Florey_Duo_mit_Schlo_reihe,Florey_Duo_mit_Schloßreihe,0.9434,0.6000,borderline
Florey_H_lfte_des_Lebens,Florey_Hälfte_des_Lebens,0.9583,0.6000,borderline
Ginastera_Cantata_para_Am_rica_M_gica_Op_27,Ginastera_Cantata_para_América_Mágica_Op_27,0.9535,0.5556,borderline
Huber_Zwei_S_tze,Huber_Zwei_Sätze,0.9375,0.5000,borderline
Lackner_Fl_gelaltar_für_Klavier,Lackner_Flügelaltar_für_Klavier,0.9677,0.6000,borderline
Lackner_Kanon_3,Lackner_Kanon_à_3,0.9375,0.7500,borderline
Lackner_Kanon_4,Lackner_Kanon_á_4,0.9375,0.7500,borderline
Lackner_Kanon_T2_6,Lackner_Kanon_T2_à_6,0.9474,0.8000,borderline
Lackner_Kanon_T3_4,Lackner_Kanon_T3_à_4,0.9474,0.8000,borderline
Lackner_Kanon_T4_3,Lackner_Kanon_T4_á_3,0.9474,0.8000,borderline
Lackner_Kanon_T6_2,Lackner_Kanon_T6_á_2,0.9474,0.8000,borderline
Lutyens_O_Saisons_O_Ch_teaux,Lutyens_O_Saisons_O_Châteaux,0.9643,0.6000,borderline
Lutyens_Pr_sages_Op_53,Lutyens_Présages_Op_53,0.9545,0.6000,borderline
Pousseur_Trois_Chants_Sacr_s,Pousseur_Trois_Chants_Sacrés,0.9643,0.6000,borderline
Santoro_Pe_as_para_Piano,Santoro_Peças_para_Piano,0.9583,0.6000,borderline
Schoenberg_op23,Schoenberg_op23_5,0.9375,0.6667,borderline
Schoenberg_op23_1,Schoenberg_op23_5,0.9412,0.6667,borderline
Schoenberg_op23_2,Schoenberg_op23_5,0.9412,0.6667,borderline
Schoenberg_op23_3,Schoenberg_op23_5,0.9412,0.6667,borderline
Schoenberg_op23_4,Schoenberg_op23_5,0.9412,0.6667,borderline
Zimmermann_Perspektiven,Zimmerman_Perspektiven,0.9778,0.5000,borderline
